package,line
annotated-types,annotated-types==0.7.0
anyio,anyio==4.9.0
atproto,atproto==0.0.61
attrs,attrs==25.3.0
azure-cognitiveservices-speech,azure-cognitiveservices-speech==1.43.0
beautifulsoup4,beautifulsoup4==4.13.3
blinker,blinker==1.9.0
boto3,boto3==1.37.33
botocore,botocore==1.37.33
bs4,bs4==0.0.1
cachetools,cachetools==5.5.2
certifi,certifi==2025.4.26
cffi,cffi==1.17.1
charset-normalizer,charset-normalizer==2.1.1
click,click==8.1.8
colorama,colorama==0.4.6
cryptography,cryptography==44.0.2
distro,distro==1.9.0
dnspython,dnspython==2.7.0
dotenv,dotenv==0.9.9
flask,Flask==3.1.0
flask-dance,Flask-Dance==7.1.0
google,google==3.0.0
google-api-core,google-api-core==2.24.2
google-auth,google-auth==2.38.0
google-cloud-texttospeech,google-cloud-texttospeech==2.25.1
googleapis-common-protos,googleapis-common-protos==1.69.2
greenlet,greenlet==3.2.2
grpcio,grpcio==1.71.0
grpcio-status,grpcio-status==1.71.0
h11,h11==0.14.0
httpcore,httpcore==1.0.8
httpx,httpx==0.28.1
idna,idna==3.10
itsdangerous,itsdangerous==2.2.0
jinja2,Jinja2==3.1.6
jiter,jiter==0.9.0
jmespath,jmespath==1.0.1
jwt,jwt==1.3.1
libipld,libipld==3.0.1
markupsafe,MarkupSafe==3.0.2
oauthlib,oauthlib==3.2.2
openai,openai==1.73.0
outcome,outcome==1.3.0.post0
packaging,packaging==25.0
platforms,platforms==6.0.0
playwright,playwright==1.52.0
proto-plus,proto-plus==1.26.1
protobuf,protobuf==5.29.4
psycopg2,psycopg2==2.9.10
pyaes,pyaes==1.6.1
pyasn1,pyasn1==0.6.1
pyasn1_modules,pyasn1_modules==0.4.2
pycparser,pycparser==2.22
pydantic,pydantic==2.11.3
pydantic_core,pydantic_core==2.33.1
pyee,pyee==13.0.0
pyrogram,Pyrogram==2.0.106
pysocks,PySocks==1.7.1
python-dateutil,python-dateutil==2.9.0.post0
python-dotenv,python-dotenv==1.1.0
requests,requests==2.32.3
requests-oauthlib,requests-oauthlib==2.0.0
rsa,rsa==4.9
s3transfer,s3transfer==0.11.4
selenium,selenium==4.33.0
six,six==1.17.0
sniffio,sniffio==1.3.1
sortedcontainers,sortedcontainers==2.4.0
soupsieve,soupsieve==2.6
tgcrypto,TgCrypto==1.2.3
tqdm,tqdm==4.67.1
trio,trio==0.30.0
trio-websocket,trio-websocket==0.12.2
tweepy,tweepy==4.15.0
typing-inspection,typing-inspection==0.4.0
typing_extensions,typing_extensions==4.13.2
urllib3,urllib3==2.4.0
urlobject,URLObject==2.4.3
webdriver-manager,webdriver-manager==4.0.2
websocket-client,websocket-client==1.8.0
websockets,websockets==13.1
werkzeug,Werkzeug==3.1.3
wsproto,wsproto==1.2.0
